"","Temperature","Metric","ShapiroWilk","ResidNorm","Levenes","HomogVar","model","DF.num","DF.denom","F_val","P_val","SigDif"
"1","25 Celcius","ATPLinked",0.0259484637840902,"NO",0.321579904335234,"YES","kruskal-wallis; x ~ treatment",7,NA,NA,0.674445188953432,"NO"
"2","25 Celcius","Baseline",0.316818959498438,"YES",0.491756517686281,"YES","one-way AOV; x ~ treatment",7,23,0.639475523878649,0.718912540613991,"NO"
"3","25 Celcius","MaxResp",0.337450670765804,"YES",0.403532240418163,"YES","one-way AOV; x ~ treatment",7,23,0.665893303724999,0.698337238446252,"NO"
"4","25 Celcius","NonMitoResp",0.185728167191086,"YES",0.545657594480092,"YES","one-way AOV; x ~ treatment",7,23,0.566348507431783,0.775374603554991,"NO"
"5","25 Celcius","Oligo",0.562459792989978,"YES",0.148805711652616,"YES","one-way AOV; x ~ treatment",7,23,0.624501390437488,0.730558355428105,"NO"
"6","25 Celcius","ProtonLeak",0.00569142597786968,"NO",0.18415947917885,"YES","kruskal-wallis; x ~ treatment",7,NA,NA,0.809642591694241,"NO"
"7","25 Celcius","SpareCapacity",0.193734000245696,"YES",0.508686794931805,"YES","one-way AOV; x ~ treatment",7,23,0.672527686120291,0.693170944057684,"NO"
"8","34 Celcius","ATPLinked",0.000327225591275153,"NO",0.295866815067155,"YES","kruskal-wallis; x ~ treatment",7,NA,NA,0.0419152115640821,"YES"
"9","34 Celcius","Baseline",1.71162102909585e-05,"NO",0.491240725220938,"YES","kruskal-wallis; x ~ treatment",7,NA,NA,0.00673272685645525,"YES"
"10","34 Celcius","MaxResp",0.042699183937209,"NO",0.000464971398228141,"NO","kruskal-wallis; x ~ treatment",7,NA,NA,0.0297298412165082,"YES"
"11","34 Celcius","NonMitoResp",9.08151699349177e-09,"NO",0.0114551188914895,"NO","kruskal-wallis; x ~ treatment",7,NA,NA,0.414421037369719,"NO"
"12","34 Celcius","Oligo",0.166170627439024,"YES",0.0640498441307758,"YES","one-way AOV; x ~ treatment",7,73,1.42641011176851,0.207910287555968,"NO"
"13","34 Celcius","ProtonLeak",0.0652613603514608,"YES",0.0480625007162237,"NO","kruskal-wallis; x ~ treatment",7,NA,NA,0.327966566713077,"NO"
"14","34 Celcius","SpareCapacity",0.0641610156246765,"YES",0.346270873451765,"YES","one-way AOV; x ~ treatment",7,73,1.10119024722572,0.371624518519219,"NO"
