"","Treatment","Age","Well","Family","gain","Date","PlateID","Type","Count","AUC","AUC.BlankShell","AUC.cor","Family_EBV","Dry.Weight","AUC.cor.norm"
"1","30C","107dpf","A1",2,65,20260702,"T0_30C_65g","Sample",NA,54762.5833333333,3256.72916666667,51505.8541666667,"High",0.01245,4137016.39892905
"2","30C","107dpf","A10",55,65,20260702,"T0_30C_65g","Sample",NA,34924.3583333333,3256.72916666667,31667.6291666667,"Low",0.01512,2094419.91843034
"3","30C","107dpf","A11",56,65,20260702,"T0_30C_65g","Sample",NA,30324.7083333333,3256.72916666667,27067.9791666667,"Low",0.01659,1631584.03656821
"4","30C","107dpf","A12",58,65,20260702,"T0_30C_65g","Sample",NA,15401.7083333333,3256.72916666667,12144.9791666667,"Low",0.00593,2048057.1950534
"5","30C","107dpf","A2",5,65,20260702,"T0_30C_65g","Sample",NA,72674.1,3256.72916666667,69417.3708333333,"High",0.02781,2496129.83938631
"6","30C","107dpf","A3",7,65,20260702,"T0_30C_65g","Sample",NA,7405.85,3256.72916666667,4149.12083333333,"High",NA,NA
"7","30C","107dpf","A4",15,65,20260702,"T0_30C_65g","Sample",NA,22957.125,3256.72916666667,19700.3958333333,"High",-0.00179,-11005807.7281192
"8","30C","107dpf","A5",17,65,20260702,"T0_30C_65g","Sample",NA,6482.53333333333,3256.72916666667,3225.80416666667,"High",0.03265,98799.5150587034
"9","30C","107dpf","A6",18,65,20260702,"T0_30C_65g","Sample",NA,58178.3166666667,3256.72916666667,54921.5875,"High",0.01641,3346836.53260207
"10","30C","107dpf","A7",49,65,20260702,"T0_30C_65g","Sample",NA,30733.7916666667,3256.72916666667,27477.0625,"Low",0.00127,21635482.2834646
"11","30C","107dpf","A8",53,65,20260702,"T0_30C_65g","Sample",NA,46636.65,3256.72916666667,43379.9208333333,"Low",0.01358,3194397.70495827
"12","30C","107dpf","A9",54,65,20260702,"T0_30C_65g","Sample",NA,32672.9083333333,3256.72916666667,29416.1791666667,"Low",0.02465,1193354.12440838
"13","30C","107dpf","B1",2,65,20260702,"T0_30C_65g","Sample",NA,40261.8,3256.72916666667,37005.0708333333,"High",0.00533,6942790.02501564
"14","30C","107dpf","B10",55,65,20260702,"T0_30C_65g","Sample",NA,35930.1,3256.72916666667,32673.3708333333,"Low",NA,NA
"15","30C","107dpf","B11",56,65,20260702,"T0_30C_65g","Sample",NA,43006.6583333333,3256.72916666667,39749.9291666667,"Low",0.01265,3142286.89064559
"16","30C","107dpf","B12",58,65,20260702,"T0_30C_65g","Sample",NA,38329.4666666667,3256.72916666667,35072.7375,"Low",0.01458,2405537.55144033
"17","30C","107dpf","B2",5,65,20260702,"T0_30C_65g","Sample",NA,65974.8916666667,3256.72916666667,62718.1625,"High",0.01297,4835633.1919815
"18","30C","107dpf","B3",7,65,20260702,"T0_30C_65g","Sample",NA,38042.9,3256.72916666667,34786.1708333333,"High",0.02993,1162250.9466533
"19","30C","107dpf","B4",15,65,20260702,"T0_30C_65g","Sample",NA,44571.8083333333,3256.72916666667,41315.0791666667,"High",0.01137,3633692.09909118
"20","30C","107dpf","B5",17,65,20260702,"T0_30C_65g","Sample",NA,104043,3256.72916666667,100786.270833333,"High",0.01631,6179415.74698549
"21","30C","107dpf","B6",18,65,20260702,"T0_30C_65g","Sample",NA,58697.2666666667,3256.72916666667,55440.5375,"High",0.02977,1862295.51561975
"22","30C","107dpf","B7",49,65,20260702,"T0_30C_65g","Sample",NA,29363.1333333333,3256.72916666667,26106.4041666667,"Low",0.02027,1287933.11133037
"23","30C","107dpf","B8",53,65,20260702,"T0_30C_65g","Sample",NA,23851.3916666667,3256.72916666667,20594.6625,"Low",0.00429,4800620.62937063
"24","30C","107dpf","B9",54,65,20260702,"T0_30C_65g","Sample",NA,58756.575,3256.72916666667,55499.8458333333,"Low",0.03504,1583899.7098554
"25","30C","107dpf","C1",2,65,20260702,"T0_30C_65g","Sample",NA,54151.375,3256.72916666667,50894.6458333333,"High",0.02029,2508361.0563496
"26","30C","107dpf","C10",55,65,20260702,"T0_30C_65g","Sample",NA,20362.7416666667,3256.72916666667,17106.0125,"Low",0.00225,7602672.22222222
"27","30C","107dpf","C11",56,65,20260702,"T0_30C_65g","Sample",NA,31181.6166666667,3256.72916666667,27924.8875,"Low",0.01082,2580858.36414048
"28","30C","107dpf","C12",58,65,20260702,"T0_30C_65g","Sample",NA,29457.575,3256.72916666667,26200.8458333333,"Low",0.01783,1469480.97775285
"29","30C","107dpf","C2",5,65,20260702,"T0_30C_65g","Sample",NA,28383.3916666667,3256.72916666667,25126.6625,"High",0.01196,2100891.51337793
"30","30C","107dpf","C3",7,65,20260702,"T0_30C_65g","Sample",NA,43788.925,3256.72916666667,40532.1958333333,"High",0.01896,2137774.04184248
"31","30C","107dpf","C4",15,65,20260702,"T0_30C_65g","Sample",NA,6379.51666666667,3256.72916666667,3122.7875,"High",-0.00114,-2739287.28070175
"32","30C","107dpf","C5",17,65,20260702,"T0_30C_65g","Sample",NA,49895.425,3256.72916666667,46638.6958333333,"High",0.00215,21692416.6666667
"33","30C","107dpf","C6",18,65,20260702,"T0_30C_65g","Sample",NA,35742.5416666667,3256.72916666667,32485.8125,"High",0.00553,5874468.80650994
"34","30C","107dpf","C7",49,65,20260702,"T0_30C_65g","Sample",NA,14826.7583333333,3256.72916666667,11570.0291666667,"Low",-0.00266,-4349635.02506266
"35","30C","107dpf","C8",53,65,20260702,"T0_30C_65g","Sample",NA,26589.9583333333,3256.72916666667,23333.2291666667,"Low",0.00611,3818859.11074741
"36","30C","107dpf","C9",54,65,20260702,"T0_30C_65g","Sample",NA,47554.6083333333,3256.72916666667,44297.8791666667,"Low",0.02564,1727686.3949558
"37","30C","107dpf","D1",2,65,20260702,"T0_30C_65g","Sample",NA,89361.8583333333,3256.72916666667,86105.1291666667,"High",0.04182,2058946.17806472
"38","30C","107dpf","D10",55,65,20260702,"T0_30C_65g","Sample",NA,45673.025,3256.72916666667,42416.2958333333,"Low",0.01877,2259791.99964482
"39","30C","107dpf","D11",56,65,20260702,"T0_30C_65g","Sample",NA,44164.4833333333,3256.72916666667,40907.7541666667,"Low",0.01873,2184076.57056416
"40","30C","107dpf","D12",58,65,20260702,"T0_30C_65g","Sample",NA,3100.34166666667,3256.72916666667,-156.3875,"Low",8e-04,-195484.375
"41","30C","107dpf","D2",5,65,20260702,"T0_30C_65g","Sample",NA,34816.125,3256.72916666667,31559.3958333333,"High",0.00643,4908148.65215137
"42","30C","107dpf","D3",7,65,20260702,"T0_30C_65g","Sample",NA,12960.9666666667,3256.72916666667,9704.2375,"High",NA,NA
"43","30C","107dpf","D4",15,65,20260702,"T0_30C_65g","Sample",NA,35569.1333333333,3256.72916666667,32312.4041666667,"High",0.02142,1508515.60068472
"44","30C","107dpf","D5",17,65,20260702,"T0_30C_65g","Sample",NA,8202.59166666667,3256.72916666667,4945.8625,"High",0.01671,295982.196289647
"45","30C","107dpf","D6",18,65,20260702,"T0_30C_65g","Sample",NA,45576.0666666667,3256.72916666667,42319.3375,"High",0.04522,935854.433878815
"46","30C","107dpf","D7",49,65,20260702,"T0_30C_65g","Sample",NA,21902.2666666667,3256.72916666667,18645.5375,"Low",0.0219,851394.406392694
"47","30C","107dpf","D8",53,65,20260702,"T0_30C_65g","Sample",NA,37868.7916666667,3256.72916666667,34612.0625,"Low",0.02266,1527452.00794351
"48","30C","107dpf","D9",54,65,20260702,"T0_30C_65g","Sample",NA,38659.8333333333,3256.72916666667,35403.1041666667,"Low",0.01813,1952736.02684317
"49","30C","107dpf","E1",2,65,20260702,"T0_30C_65g","Sample",NA,42684.475,3256.72916666667,39427.7458333333,"High",0.01263,3121753.43098443
"50","30C","107dpf","E10",55,65,20260702,"T0_30C_65g","Sample",NA,35354.5583333333,3256.72916666667,32097.8291666667,"Low",NA,NA
"51","30C","107dpf","E11",56,65,20260702,"T0_30C_65g","Sample",NA,23662.3666666667,3256.72916666667,20405.6375,"Low",0.00563,3624447.1580817
"52","30C","107dpf","E12",58,65,20260702,"T0_30C_65g","Sample",NA,8850.775,3256.72916666667,5594.04583333333,"Low",NA,NA
"53","30C","107dpf","E2",5,65,20260702,"T0_30C_65g","Sample",NA,46983.8,3256.72916666667,43727.0708333333,"High",0.01892,2311155.96370684
"54","30C","107dpf","E3",7,65,20260702,"T0_30C_65g","Sample",NA,35311.0416666667,3256.72916666667,32054.3125,"High",-0.01015,-3158060.34482759
"55","30C","107dpf","E4",15,65,20260702,"T0_30C_65g","Sample",NA,35234.8083333333,3256.72916666667,31978.0791666667,"High",0.02982,1072370.19338252
"56","30C","107dpf","E5",17,65,20260702,"T0_30C_65g","Sample",NA,25254.6666666667,3256.72916666667,21997.9375,"High",0.01799,1222786.96498054
"57","30C","107dpf","E6",18,65,20260702,"T0_30C_65g","Sample",NA,39895.6,3256.72916666667,36638.8708333333,"High",0.02515,1456813.94963552
"58","30C","107dpf","E7",49,65,20260702,"T0_30C_65g","Sample",NA,25159.6083333333,3256.72916666667,21902.8791666667,"Low",0.02535,864018.902038132
"59","30C","107dpf","E8",53,65,20260702,"T0_30C_65g","Sample",NA,4871.33333333333,3256.72916666667,1614.60416666667,"Low",-1.0498,-1538.01120848415
"60","30C","107dpf","E9",54,65,20260702,"T0_30C_65g","Sample",NA,25417.3583333333,3256.72916666667,22160.6291666667,"Low",0.0112,1978627.60416667
"61","30C","107dpf","F1",2,65,20260702,"T0_30C_65g","Sample",NA,73701.1833333333,3256.72916666667,70444.4541666667,"High",0.03338,2110379.09426802
"62","30C","107dpf","F10",55,65,20260702,"T0_30C_65g","Sample",NA,56663.425,3256.72916666667,53406.6958333333,"Low",0.01685,3169536.84470821
"63","30C","107dpf","F11",56,65,20260702,"T0_30C_65g","Sample",NA,33831.0833333333,3256.72916666667,30574.3541666667,"Low",0.01939,1576810.4263366
"64","30C","107dpf","F12",58,65,20260702,"T0_30C_65g","Sample",NA,7175.325,3256.72916666667,3918.59583333333,"Low",-3e-04,-13061986.1111111
"65","30C","107dpf","F2",5,65,20260702,"T0_30C_65g","Sample",NA,38775.45,3256.72916666667,35518.7208333333,"High",0.01582,2245178.30804888
"66","30C","107dpf","F3",7,65,20260702,"T0_30C_65g","Sample",NA,38906.5333333333,3256.72916666667,35649.8041666667,"High",0.01554,2294067.19219219
"67","30C","107dpf","F4",15,65,20260702,"T0_30C_65g","Sample",NA,34730.0083333333,3256.72916666667,31473.2791666667,"High",0.01738,1810890.63099348
"68","30C","107dpf","F5",17,65,20260702,"T0_30C_65g","Sample",NA,42384.5416666667,3256.72916666667,39127.8125,"High",NA,NA
"69","30C","107dpf","F6",18,65,20260702,"T0_30C_65g","Sample",NA,40865.4416666667,3256.72916666667,37608.7125,"High",0.01007,3734728.15292949
"70","30C","107dpf","F7",49,65,20260702,"T0_30C_65g","Sample",NA,42906.6916666667,3256.72916666667,39649.9625,"Low",0.01303,3042974.86569455
"71","30C","107dpf","F8",53,65,20260702,"T0_30C_65g","Sample",NA,21840.5,3256.72916666667,18583.7708333333,"Low",0.00885,2099861.11111111
"72","30C","107dpf","F9",54,65,20260702,"T0_30C_65g","Sample",NA,28893.15,3256.72916666667,25636.4208333333,"Low",0.01607,1595296.87824103
"73","32C","109dpf","A1",2,65,20260704,"plate_1_32","Sample",NA,47107.4916666667,8181.40277777778,38926.0888888889,"High",0.00746,5217974.38188859
"74","32C","109dpf","A10",55,65,20260704,"plate_1_32","Sample",NA,16155.625,8181.40277777778,7974.22222222222,"Low",0.02007,397320.489398217
"75","32C","109dpf","A11",56,65,20260704,"plate_1_32","Sample",NA,51770.6333333333,8181.40277777778,43589.2305555556,"Low",0.02695,1617411.15233972
"76","32C","109dpf","A12",58,65,20260704,"plate_1_32","Sample",NA,4469.86666666667,8181.40277777778,-3711.53611111111,"Low",NA,NA
"77","32C","109dpf","A2",5,65,20260704,"plate_1_32","Sample",NA,79210.6,8181.40277777778,71029.1972222222,"High",0.02293,3097653.607598
"78","32C","109dpf","A3",7,65,20260704,"plate_1_32","Sample",NA,64017.95,8181.40277777778,55836.5472222222,"High",0.02959,1887007.34106868
"79","32C","109dpf","A4",15,65,20260704,"plate_1_32","Sample",NA,86414.1166666667,8181.40277777778,78232.7138888889,"High",0.01701,4599218.92350905
"80","32C","109dpf","A5",17,65,20260704,"plate_1_32","Sample",NA,67615.6666666667,8181.40277777778,59434.2638888889,"High",0.01954,3041671.6422154
"81","32C","109dpf","A6",18,65,20260704,"plate_1_32","Sample",NA,22474.125,8181.40277777778,14292.7222222222,"High",0.01331,1073833.37507304
"82","32C","109dpf","A7",49,65,20260704,"plate_1_32","Sample",NA,35756.5166666667,8181.40277777778,27575.1138888889,"Low",0.0149,1850678.78448919
"83","32C","109dpf","A8",53,65,20260704,"plate_1_32","Sample",NA,21096.8583333333,8181.40277777778,12915.4555555556,"Low",0.01201,1075391.80312702
"84","32C","109dpf","A9",54,65,20260704,"plate_1_32","Sample",NA,14757.5666666667,8181.40277777778,6576.16388888889,"Low",0.01197,549387.125220459
"85","32C","109dpf","B1",2,65,20260704,"plate_1_32","Sample",NA,159196.791666667,8181.40277777778,151015.388888889,"High",0.04596,3285800.4545015
"86","32C","109dpf","B11",56,65,20260704,"plate_1_32","Sample",NA,51021.05,8181.40277777778,42839.6472222222,"Low",0.02614,1638854.14010031
"87","32C","109dpf","B12",58,65,20260704,"plate_1_32","Sample",NA,46497.5916666667,8181.40277777778,38316.1888888889,"Low",0.01281,2991115.44800069
"88","32C","109dpf","B2",5,65,20260704,"plate_1_32","Sample",NA,56715.7166666667,8181.40277777778,48534.3138888889,"High",0.0151,3214192.9727741
"89","32C","109dpf","B3",7,65,20260704,"plate_1_32","Sample",NA,38682.0166666667,8181.40277777778,30500.6138888889,"High",0.02419,1260876.96936291
"90","32C","109dpf","B4",15,65,20260704,"plate_1_32","Sample",NA,27216.6583333333,8181.40277777778,19035.2555555556,"High",0.05213,365149.732506341
"91","32C","109dpf","B5",17,65,20260704,"plate_1_32","Sample",NA,22466.8,8181.40277777778,14285.3972222222,"High",0.02433,587151.5504407
"92","32C","109dpf","B6",18,65,20260704,"plate_1_32","Sample",NA,83672.4666666667,8181.40277777778,75491.0638888889,"High",0.02301,3280793.73702255
"93","32C","109dpf","B7",49,65,20260704,"plate_1_32","Sample",NA,36005.1,8181.40277777778,27823.6972222222,"Low",0.02285,1217667.2744955
"94","32C","109dpf","B8",53,65,20260704,"plate_1_32","Sample",NA,72768.8916666667,8181.40277777778,64587.4888888889,"Low",0.01672,3862888.09144072
"95","32C","109dpf","B9",54,65,20260704,"plate_1_32","Sample",NA,57472.4833333333,8181.40277777778,49291.0805555556,"Low",0.05004,985033.584243716
"96","32C","109dpf","C1",2,65,20260704,"plate_1_32","Sample",NA,70895.225,8181.40277777778,62713.8222222223,"High",0.03215,1950663.21064455
"97","32C","109dpf","C10",55,65,20260704,"plate_1_32","Sample",NA,30605.725,8181.40277777778,22424.3222222222,"Low",NA,NA
"98","32C","109dpf","C11",56,65,20260704,"plate_1_32","Sample",NA,3275.10833333333,8181.40277777778,-4906.29444444445,"Low",0.00367,-1336864.97123827
"99","32C","109dpf","C12",58,65,20260704,"plate_1_32","Sample",NA,20186.325,8181.40277777778,12004.9222222222,"Low",0.01144,1049381.31313131
"100","32C","109dpf","C2",5,65,20260704,"plate_1_32","Sample",NA,41008.9083333333,8181.40277777778,32827.5055555556,"High",0.02072,1584339.07121407
"101","32C","109dpf","C3",7,65,20260704,"plate_1_32","Sample",NA,63163.3666666667,8181.40277777778,54981.9638888889,"High",0.01808,3041037.82571288
"102","32C","109dpf","C4",15,65,20260704,"plate_1_32","Sample",NA,25788.3416666667,8181.40277777778,17606.9388888889,"High",0.02172,810632.545528954
"103","32C","109dpf","C5",17,65,20260704,"plate_1_32","Sample",NA,25428.8583333333,8181.40277777778,17247.4555555555,"High",0.01556,1108448.30048558
"104","32C","109dpf","C6",18,65,20260704,"plate_1_32","Sample",NA,39261.9583333333,8181.40277777778,31080.5555555555,"High",0.02705,1149003.90223865
"105","32C","109dpf","C7",49,65,20260704,"plate_1_32","Sample",NA,24492.0583333333,8181.40277777778,16310.6555555556,"Low",0.02422,673437.471327645
"106","32C","109dpf","C8",53,65,20260704,"plate_1_32","Sample",NA,34184.3,8181.40277777778,26002.8972222222,"Low",0.01099,2366050.70265898
"107","32C","109dpf","C9",54,65,20260704,"plate_1_32","Sample",NA,56302.625,8181.40277777778,48121.2222222222,"Low",-1.06224,-45301.6476711687
"108","32C","109dpf","D1",2,65,20260704,"plate_1_32","Sample",NA,109916.241666667,8181.40277777778,101734.838888889,"High",0.03454,2945420.92903558
"109","32C","109dpf","D10",55,65,20260704,"plate_1_32","Sample",NA,36412.8333333333,8181.40277777778,28231.4305555556,"Low",0.02022,1396213.18276734
"110","32C","109dpf","D11",56,65,20260704,"plate_1_32","Sample",NA,25697.3916666667,8181.40277777778,17515.9888888889,"Low",0.00856,2046260.38421599
"111","32C","109dpf","D12",58,65,20260704,"plate_1_32","Sample",NA,21398.3083333333,8181.40277777778,13216.9055555556,"Low",0.01421,930112.987723825
"112","32C","109dpf","D2",5,65,20260704,"plate_1_32","Sample",NA,43317.7666666667,8181.40277777778,35136.3638888889,"High",0.0113,3109412.73352999
"113","32C","109dpf","D3",7,65,20260704,"plate_1_32","Sample",NA,80715.4666666667,8181.40277777778,72534.0638888889,"High",0.02067,3509146.77740149
"114","32C","109dpf","D4",15,65,20260704,"plate_1_32","Sample",NA,50352.425,8181.40277777778,42171.0222222222,"High",0.02734,1542466.06518735
"115","32C","109dpf","D5",17,65,20260704,"plate_1_32","Sample",NA,32628.6583333333,8181.40277777778,24447.2555555556,"High",0.02088,1170845.57258408
"116","32C","109dpf","D6",18,65,20260704,"plate_1_32","Sample",NA,68624.675,8181.40277777778,60443.2722222222,"High",0.0178,3395689.45068664
"117","32C","109dpf","D7",49,65,20260704,"plate_1_32","Sample",NA,33942.7083333333,8181.40277777778,25761.3055555556,"Low",0.01268,2031648.70311952
"118","32C","109dpf","D8",53,65,20260704,"plate_1_32","Sample",NA,1040.61666666667,8181.40277777778,-7140.78611111111,"Low",NA,NA
"119","32C","109dpf","D9",54,65,20260704,"plate_1_32","Sample",NA,64969.5166666667,8181.40277777778,56788.1138888889,"Low",0.00715,7942393.55089355
"120","32C","109dpf","E1",2,65,20260704,"plate_1_32","Sample",NA,51704.9916666667,8181.40277777778,43523.5888888889,"High",0.01727,2520184.64903815
"121","32C","109dpf","E10",55,65,20260704,"plate_1_32","Sample",NA,33271.9583333333,8181.40277777778,25090.5555555555,"Low",0.01872,1340307.45489079
"122","32C","109dpf","E11",56,65,20260704,"plate_1_32","Sample",NA,30433.3166666667,8181.40277777778,22251.9138888889,"Low",0.01829,1216616.39633072
"123","32C","109dpf","E12",58,65,20260704,"plate_1_32","Sample",NA,27950.0833333333,8181.40277777778,19768.6805555555,"Low",0.00303,6524317.01503483
"124","32C","109dpf","E2",5,65,20260704,"plate_1_32","Sample",NA,42361.7166666667,8181.40277777778,34180.3138888889,"High",0.01446,2363783.80974335
"125","32C","109dpf","E4",15,65,20260704,"plate_1_32","Sample",NA,47503.5583333333,8181.40277777778,39322.1555555556,"High",0.03688,1066218.96842613
"126","32C","109dpf","E5",17,65,20260704,"plate_1_32","Sample",NA,49283.1666666667,8181.40277777778,41101.7638888889,"High",0.00809,5080564.13954127
"127","32C","109dpf","E6",18,65,20260704,"plate_1_32","Sample",NA,75474.7916666667,8181.40277777778,67293.3888888889,"High",0.03661,1838114.96555282
"128","32C","109dpf","E7",49,65,20260704,"plate_1_32","Sample",NA,20542.3333333333,8181.40277777778,12360.9305555556,"Low",0.01792,689784.071180556
"129","32C","109dpf","E8",53,65,20260704,"plate_1_32","Sample",NA,14860.6083333333,8181.40277777778,6679.20555555556,"Low",0.00875,763337.777777778
"130","32C","109dpf","E9",54,65,20260704,"plate_1_32","Sample",NA,30611.7916666667,8181.40277777778,22430.3888888889,"Low",0.02496,898653.400997151
"131","32C","109dpf","F1",2,65,20260704,"plate_1_32","Sample",NA,46200.1333333333,8181.40277777778,38018.7305555555,"High",0.01724,2205262.79324568
"132","32C","109dpf","F10",55,65,20260704,"plate_1_32","Sample",NA,16948.4666666667,8181.40277777778,8767.06388888889,"Low",0.02359,371643.233950356
"133","32C","109dpf","F11",56,65,20260704,"plate_1_32","Sample",NA,18907.8916666667,8181.40277777778,10726.4888888889,"Low",0.01529,701536.225565002
"134","32C","109dpf","F12",58,65,20260704,"plate_1_32","Sample",NA,32950.3416666667,8181.40277777778,24768.9388888889,"Low",0.00538,4603891.98678232
"135","32C","109dpf","F2",5,65,20260704,"plate_1_32","Sample",NA,25663.6916666667,8181.40277777778,17482.2888888889,"High",0.02598,672913.352151228
"136","32C","109dpf","F3",7,65,20260704,"plate_1_32","Sample",NA,10383.675,8181.40277777778,2202.27222222222,"High",NA,NA
"137","32C","109dpf","F4",15,65,20260704,"plate_1_32","Sample",NA,10616.9083333333,8181.40277777778,2435.50555555556,"High",0.01359,179213.065162293
"138","32C","109dpf","F5",17,65,20260704,"plate_1_32","Sample",NA,99179,8181.40277777778,90997.5972222222,"High",0.02149,4234415.87818624
"139","32C","109dpf","F6",18,65,20260704,"plate_1_32","Sample",NA,78133.1333333333,8181.40277777778,69951.7305555556,"High",0.02287,3058667.711218
"140","32C","109dpf","F7",49,65,20260704,"plate_1_32","Sample",NA,43473.2083333333,8181.40277777778,35291.8055555556,"Low",0.01902,1855510.28157495
"141","32C","109dpf","F8",53,65,20260704,"plate_1_32","Sample",NA,34164.225,8181.40277777778,25982.8222222222,"Low",0.00787,3301502.18833828
"142","32C","109dpf","F9",54,65,20260704,"plate_1_32","Sample",NA,9924.24166666667,8181.40277777778,1742.83888888889,"Low",0.02637,66091.728816416
"143","34C","111dpf","A1",2,65,20260706,"T0_34C_65g","Sample",NA,86553.9916666667,3917.9375,82636.0541666667,"High",0.022,3756184.28030303
"144","34C","111dpf","A10",55,65,20260706,"T0_34C_65g","Sample",NA,19332.75,3917.9375,15414.8125,"Low",0.02216,695614.282490975
"145","34C","111dpf","A11",56,65,20260706,"T0_34C_65g","Sample",NA,15191.95,3917.9375,11274.0125,"Low",0.00764,1475656.08638743
"146","34C","111dpf","A12",58,65,20260706,"T0_34C_65g","Sample",NA,58647.675,3917.9375,54729.7375,"Low",0.01172,4669772.82423208
"147","34C","111dpf","A2",5,65,20260706,"T0_34C_65g","Sample",NA,53255.8166666667,3917.9375,49337.8791666667,"High",0.0173,2851900.52986513
"148","34C","111dpf","A3",7,65,20260706,"T0_34C_65g","Sample",NA,121607.458333333,3917.9375,117689.520833333,"High",0.02568,4582925.26609553
"149","34C","111dpf","A4",15,65,20260706,"T0_34C_65g","Sample",NA,69990.6583333333,3917.9375,66072.7208333333,"High",0.02655,2488614.72065286
"150","34C","111dpf","A5",17,65,20260706,"T0_34C_65g","Sample",NA,34012.9833333333,3917.9375,30095.0458333333,"High",0.03502,859367.385303636
"151","34C","111dpf","A6",18,65,20260706,"T0_34C_65g","Sample",NA,27301.0916666667,3917.9375,23383.1541666667,"High",0.03129,747304.383722169
"152","34C","111dpf","A7",49,65,20260706,"T0_34C_65g","Sample",NA,117188.641666667,3917.9375,113270.704166667,"Low",0.02807,4035294.05652535
"153","34C","111dpf","A8",53,65,20260706,"T0_34C_65g","Sample",NA,112243.716666667,3917.9375,108325.779166667,"Low",0.0304,3563347.99890351
