"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain","PlateID"
"1","A","1","766","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A1",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"2","A","2","833","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A2",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"3","A","3","881","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A3",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"4","A","4","782","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A4",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"5","A","5","775","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A5",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"6","A","6","811","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A6",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"7","A","7","741","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A7",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"8","A","8","749","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A8",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"9","A","9","949","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A9",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"10","A","10","864","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A10",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"11","A","11","820","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A11",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"12","A","12","847","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","A12",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"13","B","1","828","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B1",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"14","B","2","992","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B2",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"15","B","3","906","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B3",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"16","B","4","819","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B4",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"17","B","5","870","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B5",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"18","B","6","896","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B6",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"19","B","7","1522","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B7",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"20","B","8","714","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B8",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"21","B","9","1014","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B9",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"22","B","10","835","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B10",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"23","B","11","893","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B11",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
"24","B","12","866","NIFA_Resazurin_30_T0_02072026_1104_g65","T0","NIFA_Resazurin_30_T0_02072026_1104_g65","B12",2026-07-02 11:04:00,20260702,65,"T0_30C_65g"
