"","Plate_row","Plate_col","flourescence","filename","timepoint","plate","Well","time","Date","gain"
"1","A","1","730","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A1",NA,20260710,60
"2","A","2","591","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A2",NA,20260710,60
"3","A","3","597","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A3",NA,20260710,60
"4","A","4","726","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A4",NA,20260710,60
"5","A","5","495","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A5",NA,20260710,60
"6","A","6","1191","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A6",NA,20260710,60
"7","A","7","732","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A7",NA,20260710,60
"8","A","8","588","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A8",NA,20260710,60
"9","A","9","1387","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A9",NA,20260710,60
"10","A","10","537","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A10",NA,20260710,60
"11","A","11","1149","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A11",NA,20260710,60
"12","A","12","671","NIFA_Resazurin_38_T0_20260710_1205_g60","T0","NIFA_Resazurin_38_T0_20260710_1205_g60","A12",NA,20260710,60
